ID,serial,manufacturer,modelname,activeip,wanusername,connectiontype,modulation,activeconnection,updated
99,DNI000003,"DeltaNetworks,Inc.",DNICWMPClient,10.67.15.37,,,,2013-05-03_08:59:19,
102,0026752cf9a3,Aztech,96333AW2G,62.0.72.1,tk1008#centrex@013net,DSL,InternetGatewayDevice.WANDevice.1.WANConnectionDevice.2.WANPPPConnection.5.ExternalIPAddress,2013-04-23_16:12:46,
103,100002,Netgear,VEGN2200,127.0.0.1,,,,2013-12-26_14:01:29,
134,00100400XH020010000000010e597052,WinLine,BCMSerials,10.0.0.32,,,,2012-11-05_18:30:43,
138,001565235c26,Yealink,SIP-T38G,192.168.0.2,,,,2012-11-13_16:28:08,
151,21530318777S26001299,"HuaweiTechnologiesCo.,Ltd.",HG256,192.168.10.2,,,,2012-10-16_05:47:31,
174,000C2A039A30,Octtel,067v86sipg.sa7s4.482.128K4S,212.44.150.20,None,,InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.ExternalIPAddress,2012-10-16_10:05:05,
183,001349ABABAB,ZyXEL,P-2612HNUL-F1F,10.10.102.89,,DSL,InternetGatewayDevice.WANDevice.2.WANConnectionDevice.1.WANPPPConnection.1.ExternalIPAddress,2012-10-31_07:13:47,
192,001E2A09310B,Netgear,DGN2200_64M_OpenWifi,192.168.8.10,,,,2012-11-13_03:45:01,
203,28E19C7T003F8,Netgear,Netgear,180.175.138.211,ad55455443,DSL,InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.ExternalIPAddress,2012-10-31_05:58:40,
204,00134955EE10,ZyXEL,P-2612HNUL-F1F,10.10.102.23,cpesw1,DSL,InternetGatewayDevice.WANDevice.2.WANConnectionDevice.1.WANPPPConnection.1.ExternalIPAddress,2012-10-31_08:33:47,
205,001122334488,Netgear,VVG2000_OpenWifi,1.162.194.65,74678846@hinet.net,DSL,InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.ExternalIPAddress,2013-04-11_12:50:41,
226,000b822a7aa5,Grandstream,GXP2100,192.168.50.155,,,,2013-01-03_14:49:18,
287,000b823ab308,Grandstream,GXP2124,192.168.60.223,,,,2014-02-24_15:17:17,
288,000b822d6e8e,Grandstream,GXP2120,192.168.50.144,,,,2012-12-05_17:17:19,
289,000b822b3282,Grandstream,GXP2110,192.168.50.167,,,,2012-12-13_13:45:17,
290,000b822a026f,Grandstream,GXP1450,192.168.50.164,,,,2013-03-27_18:00:18,
292,000b8240e1d8,Grandstream,GXP1165,192.168.88.251,,,,2015-10-01_02:33:17,
